item_id,source_id,source_type,evidence_locator,summary,maturity,object_type,tdl_eligible,confidence,review_status,notes
F01,meeting_2026_05_09,meeting_transcript,00:04-00:54,公司薪资多维表格已完成首次试运行,fact,Fact,false,high,reviewed,组织事实
F02,meeting_2026_05_09,meeting_transcript,00:54后,原始数据已能在飞书平台持续留存并被后续调用,fact,Fact,false,high,reviewed,组织事实
F03,shiying_report_2026_05,report,1.1,绿谷4月成单数首次单月反超鑫和15比12,fact,Fact,false,high,reviewed,经营事实
F04,shiying_report_2026_05,report,1.2,2024年1到4月当pay168单而2026年1到4月87单缩减48%,fact,Fact,false,high,reviewed,经营事实
F05,hr_report_2026_04,workbook,整体概述,4月共入职12人当前留存11人,fact,Fact,false,high,reviewed,人力事实
F06,zhaoxiaohua_report_2026_04,workbook,4月复盘,4月已听课156个班级,fact,Fact,false,high,reviewed,教务事实
F07,meeting_2026_05_09,meeting_transcript,1304后,当前全校区已经在进行公开课和PPT过课,fact,Fact,false,medium,reviewed,教学事实
F08,shiying_report_2026_05,report,顾问产能部分,Oli4月团队最低con率为15%,fact,Fact,false,high,reviewed,经营事实
D01,meeting_2026_05_09,meeting_transcript,03:12后,下一步业务数据建设优先从前端切入,confirmed,Decision,false,high,reviewed,处理方向
D02,meeting_2026_05_09,meeting_transcript,00:54后,薪资多维表格继续往前推进入更常态化使用阶段,confirmed,Decision,false,medium,reviewed,推进判断
P01,meeting_2026_05_09,meeting_transcript,03:12-05:24,前后端数据体系最终纳入哪些字段卡点权限和流程,pending,Issue,false,high,reviewed,未形成完整方案
P02,meeting_2026_05_09,meeting_transcript,03:49-05:24,前端应列出哪些原始数据维度,pending,Issue,false,high,reviewed,有What但缺足够明确When
P03,meeting_2026_05_09,meeting_transcript,03:49-05:24,后端应列出哪些承接字段,pending,Issue,false,high,reviewed,有What但缺足够明确When
P04,meeting_2026_05_09,meeting_transcript,05:24后,学员全生命周期信息库最终如何设计,pending,Issue,false,high,reviewed,目标形态未展开
P05,meeting_2026_05_09,meeting_transcript,368后,试听到成交链路中的高光体验应如何设计,pending,Issue,false,high,reviewed,未形成完整执行方案
P06,meeting_2026_05_09,meeting_transcript,702后,WSDA比赛的活动定位和资源投入应如何判断,pending,Issue,false,high,reviewed,讨论过未结论
P07,shiying_report_2026_05,report,10月底单校区健康运行段,单校区健康运行应如何真正落成组织动作,pending,Issue,false,high,reviewed,个人方案框架
P08,hr_report_2026_04,workbook,新师成长支持机制,新师成长支持机制如何在组织内跑成闭环,pending,Issue,false,high,reviewed,部门计划
I01,meeting_2026_05_09,meeting_transcript,1410后,管理者要更主动使用AI把长期工作上下文沉淀进去,spark,Idea,false,high,reviewed,倡导
I02,meeting_2026_05_09,meeting_transcript,1416后,管理者可沉淀团队成员画像绩效性格给AI辅助判断,spark,Idea,false,high,reviewed,方法设想
I03,shiying_report_2026_05,report,10月底单校区健康运行段,让单校区系统不再依赖个人在场也能健康运转,spark,Idea,false,high,reviewed,愿景
I04,hr_report_2026_04,workbook,AI使用反思部分,AI应作为教练而非代笔,spark,Idea,false,high,reviewed,管理理念
I05,shiying_report_2026_05,report,Riley培养部分,若Riley跑通可沉淀主管培养样板模型,spark,Idea,false,high,reviewed,个人设想
I06,shiying_report_2026_05,report,周年庆专项,把周年庆作为服务升级的第一战场,spark,Idea,false,medium,reviewed,战役设想
S01,shiying_report_2026_05,report,1.1,鑫和正在下滑绿谷反超,signal,Signal,false,high,reviewed,经营线索
S02,shiying_report_2026_05,report,1.2,当pay缩减48%,signal,Signal,false,high,reviewed,风险线索
S03,shiying_report_2026_05,report,顾问产能部分,Oli con率15%且前后端转化收口不严,signal,Signal,false,high,reviewed,经营线索
S04,hr_report_2026_04,workbook,招聘部分,招聘关注点已从有没有人转向能不能留能不能用能不能成长,signal,Signal,false,high,reviewed,组织关注点迁移
S05,zhaoxiaohua_report_2026_04,workbook,执行力看板,看板问题数开始下降且绿谷变化更明显,signal,Signal,false,high,reviewed,运营信号
S06,multi_source,derived_note,跨材料归纳,多份材料反复出现标准回收闭环机制,signal,Signal,false,medium,reviewed,跨材料线索
S07,teaching_reports,workbook,二公三公相关sheet,教学质量预警需求可能正在形成,signal,Signal,false,medium,reviewed,跨材料线索
S08,meeting_2026_05_09,meeting_transcript,1696后,会议中出现全部用起AI了的管理期待,signal,Signal,false,medium,reviewed,组织氛围变化
